DATE,XSP.TO_R,XIU.TO_R,XIN.TO_R,XBB.TO_R,XGB.TO_R,XRB.TO_R,XRE.TO_R
2006-04-01,,,,,,,
2006-05-01,-0.033332956,-0.032004687,-0.055876541,0.003859343,,-0.009773582,0.001455637
2006-06-01,0.006896306,-0.010369583,0.011836567,-0.016777904,,-0.017142673,-0.005087014
2006-07-01,0.001245503,0.023036122,0.002420259,0.033026545,,0.044349456,0.059085162
2006-08-01,0.021144379,0.022209137,0.028168989,0.018099592,,0.019467202,0.029411702
2006-09-01,0.026796581,-0.01458146,0.014090355,-0.002051258,,-0.00854273,0.040135536
2006-10-01,0.029655836,0.048887554,0.027016458,0.014519901,,-0.00050704,0.031306667
2006-11-01,0.014401263,0.043503062,-0.002254827,0.010576235,,0.008620901,0.032754757
2006-12-01,0.015331734,0.011678434,0.027495231,-0.019918587,,-0.03921561,-0.00932827
2007-01-01,0.012957776,0.01240858,0.041719456,0.008515994,0.001712751,0.008403061,0.064423552
2007-02-01,-0.008864052,-0.00239688,-0.011827993,0.01484352,0.013465564,0.012092799,0.048386576
2007-03-01,-0.000559012,0.007741269,0.0181355,-0.014286177,-0.013286652,0.003116903,-0.054130982
2007-04-01,0.043065001,0.021492233,0.024224979,0.01038065,0.00745635,0.009839728,0.03472666
2007-05-01,0.031635507,0.053522495,0.040347855,-0.016213089,-0.012500484,-0.029231233,0.000587885
2007-06-01,-0.020270559,-0.009023607,-0.008692514,-0.016128931,-0.014177161,-0.030639108,-0.053498038
2007-07-01,-0.029177687,0.007546347,-0.038448638,0.014820081,0.01254787,0.018526317,-0.034878683
2007-08-01,0.011475331,-0.008829721,-0.00350736,0.009949995,0.010774713,-0.005420418,0.020196272
2007-09-01,0.032955235,0.026850457,0.016895174,-0.004926466,-0.003045202,0.016893646,0.019157121
2007-10-01,0.014644417,0.045350493,0.029075952,0.017006042,0.01685863,0.003751831,-0.033252004
2007-11-01,-0.046391614,-0.053670225,-0.045408558,0.011959444,0.017713106,-0.003737808,-0.031433589
2007-12-01,-0.017837775,0.005956939,-0.038759776,-0.002085536,-0.003480778,0.017149384,-0.035835655
2008-01-01,-0.050061425,-0.040450097,-0.085962307,0.016032236,0.015823843,0.002308078,-0.037990079
2008-02-01,-0.03053434,0.033592028,-0.02868833,0.012136225,0.009926163,0.023404201,-0.002241859
2008-03-01,-0.004239816,-0.018750118,-0.022363022,-0.002398548,0.006386969,0.040540674,-0.006742064
2008-04-01,0.050486565,0.064680246,0.062149725,0.00500693,-0.000714897,-0.01848176,0.036813871
2008-05-01,0.010422681,0.064461852,0.019097631,-0.000345524,0,0.031552209,0.024193612
2008-06-01,-0.09512905,-0.026550695,-0.113237719,-0.008983669,-0.008391187,0.016773553,-0.068002469
2008-07-01,0.000102871,-0.045417926,-0.009269499,0.019110256,0.017817855,0.011825156,0.001648418
2008-08-01,0.01659199,0.010026983,0.008295026,0.005538104,0.010380708,0.005339697,0.048324353
2008-09-01,-0.082862356,-0.129781832,-0.090950638,-0.030292662,-0.028376028,-0.097054808,-0.10408923
2008-10-01,-0.208760966,-0.164558743,-0.185520288,0.001108195,0.001842341,-0.044919952,-0.211616912
2008-11-01,-0.048442903,-0.064386384,-0.003086575,0.024408071,0.028456016,-0.017917023,-0.090129121
2008-12-01,-0.031818326,-0.02580671,-0.028482977,0.020672433,0.034584643,0.050170997,-0.035376838
2009-01-01,-0.082629342,-0.025327025,-0.096239629,-0.001990156,-0.00614883,-0.006211135,0.034565621
2009-02-01,-0.108495179,-0.060975301,-0.074047932,0.009739125,0.001940648,-0.01666672,-0.072481938
2009-03-01,0.080367435,0.074675477,0.054074712,0.005856148,0.004358706,0.091525631,-0.03708563
2009-04-01,0.092454692,0.083779038,0.098265886,0.009796624,0.007885538,-0.027950839,0.110740482
2009-05-01,0.050583773,0.125702324,0.052631408,0,-0.014017045,0.010117301,0.143036975
2009-06-01,-0.012037198,-0.013724178,-0.030000021,0.002400313,0.002451865,0.010016091,0.01317168
2009-07-01,0.084302917,0.050263141,0.094971913,0.015744229,0.010524859,0.048166025,0.067950286
2009-08-01,0.033130066,-0.001820139,0.039497234,0.007831406,0.008309328,-0.00705648,0.08004195
2009-09-01,0.032911054,0.035866429,0.020149721,0.002363738,-0.000485336,0.002537929,0.058710088
2009-10-01,-0.013888685,-0.040629141,-0.030473986,0.010073473,0.00739275,0.03139264,-0.010884739
2009-11-01,0.059651955,0.05907707,0.017462207,0.013495434,0.013618946,0.004909019,0.013060081
2009-12-01,0.00703683,0.009297158,0.024599276,-0.024633986,-0.027351625,0.003908306,0.068140208
2010-01-01,-0.028141318,-0.053515344,-0.021739005,0.027759961,0.027838014,0.022395079,0.03502213
2010-02-01,0.03140092,0.04895932,0.012173943,0.001344509,-0.000484886,-0.012524347,0.014369994
2010-03-01,0.056986836,0.032089082,0.068155639,-0.018456637,-0.018932418,0.007317207,-0.005000403
2010-04-01,0.014770906,0.021728079,-0.02252003,0.010263678,0.006526063,0.013559081,0.032747179
2010-05-01,-0.080058091,-0.033983525,-0.067471233,0.006838226,0.019354414,-0.000955399,-0.026187119
2010-06-01,-0.063291166,-0.041522281,-0.052941015,0.009846549,0.006329438,0.005260663,0.001681622
2010-07-01,0.076285021,0.041451763,0.081319605,0.013687529,0.011231038,-0.007817192,0.07805868
2010-08-01,-0.046640386,0.015697508,-0.032088724,0.016093655,0.016100989,0.036354792,0.049169838
2010-09-01,0.085406506,0.026903472,0.051235836,0.006333762,0.008318221,0.024789562,0.056303257
2010-10-01,0.038197136,0.027021624,0.01949534,0.004908914,0.002295707,0.017800105,0.012571145
2010-11-01,0.000735922,0.020753912,-0.006186665,-0.012281885,-0.01087089,-0.003139076,-0.039378712
2010-12-01,0.062499948,0.032102144,0.043010621,0.002751241,-0.001677948,-0.000449896,0.011237658
2011-01-01,0.026817643,0.020541933,0.017318698,-0.006382722,-0.007183301,-0.027609946,0.042373902
2011-02-01,0.033288005,0.045454593,0.026301669,0.000569786,0.000977124,0.022461317,0.04106531
2011-03-01,0.001315003,-0.010747674,-0.029288672,0.00129694,0.002456465,0.016475839,0.045955865
2011-04-01,0.027576873,-0.005040046,0.019396568,0.006752649,0.005573448,0.030166631,-0.003826539
2011-05-01,-0.010862588,-0.008487582,-0.014270723,0.015179944,0.016599064,0.010926709,0.012173743
2011-06-01,-0.021963831,-0.037764083,-0.027881792,-0.000207747,0.000824058,-0.006917465,-0.004589135
2011-07-01,-0.013014881,-0.030411653,-0.020723018,0.021701189,0.019704098,0.048012025,0.004799678
2011-08-01,-0.054545572,-0.006517819,-0.090960964,0.013342049,0.015055934,-0.012578478,-0.010061847
2011-09-01,-0.076922985,-0.089119911,-0.069855422,0.016501764,0.01821102,0.014012783,0.000150593
2011-10-01,0.10802456,0.058883085,0.077807951,-0.003807799,-0.003867749,0.029731884,0.015862422
2011-11-01,-0.004874729,-0.004563622,-0.001255679,0.007897404,0.008750498,0.019927094,0.027977042
2011-12-01,0.001399614,-0.021776622,-0.016341683,0.017800349,0.019748913,0.02950529,0.021995518
2012-01-01,0.05519564,0.050692187,0.047231743,0.003752843,0.001543779,0.008568234,0.015772728
2012-02-01,0.042140244,0.014021383,0.051755817,-0.004436645,-0.006989062,-0.015509872,0.032806381
2012-03-01,0.032092545,-0.019911691,0.007615949,-0.003559167,-0.004317038,-0.007483114,0.00012724
2012-04-01,-0.006219025,-0.00047995,-0.029069647,0.001426128,-0.001287129,-0.008333288,0.034037495
2012-05-01,-0.060700709,-0.06257119,-0.072455307,0.019033051,0.022586701,0.045617962,0.001370988
2012-06-01,0.031978417,0.007888512,0.0316335,0.001447655,0.001109681,-0.013011801,0.019560711
2012-07-01,0.021203802,0.013169155,0.020787366,0.006905025,0.0038721,0.021717322,0.035549543
2012-08-01,0.022915301,0.02994023,0.020625158,-0.001508147,-0.000388001,-0.011481177,-0.000485441
2012-09-01,0.024268766,0.023837222,0.016534072,0.005004437,0.00521137,0.00541997,0.003539353
2012-10-01,-0.017618368,0.02242286,0.012048104,-0.000120566,-0.003450137,-0.003850525,-0.015043082
2012-11-01,0.004947471,-0.016778479,0.034523831,0.004530455,0.005134735,0.013142663,-0.018248717
2012-12-01,-0.001230846,0.019340043,0.031645287,-0.002374815,-0.001683345,-0.016405846,0.0444966
2013-01-01,0.064186848,0.027481053,0.054496498,-0.006558849,-0.009504595,-0.023164026,0.004829462
2013-02-01,0.012873177,0.016384426,0.016533388,0.00975142,0.007923709,-0.000801847,0.006814435
2013-03-01,0.036395329,-0.014508131,0.018887954,0.003641676,0.005194354,0.011231448,0.001567416
2013-04-01,0.021181433,-0.017475048,0.044798882,0.011427863,0.009677638,0.022213493,0.048820303
2013-05-01,0.024563325,0.022396289,-0.00394289,-0.01510038,-0.016328333,-0.048894015,-0.058409316
2013-06-01,-0.022908742,-0.043811497,-0.04502715,-0.022682442,-0.022384699,-0.087311471,-0.060710581
2013-07-01,0.060079456,0.03610083,0.056818554,0.002630043,0.000954024,0.028525093,-0.026066295
2013-08-01,-0.030036465,0.019498473,-0.018886253,-0.00727158,-0.008106194,-0.007894737,-0.034468745
2013-09-01,0.030966592,0.004371737,0.052684773,0.005836563,0.008328545,-0.011494242,0.028257916
2013-10-01,0.047643962,0.057269702,0.034167367,0.011441717,0.009651194,0.026833404,0.029623574
2013-11-01,0.027681433,0.008817735,0.018147988,-0.002575993,-0.005201606,-0.025261182,-0.022503174
2013-12-01,0.017315946,0.012339244,-0.001371181,-0.003615798,-0.005766347,-0.021894641,0.026880568
2014-01-01,-0.025239483,0.008629871,-0.033535698,0.024352918,0.027882403,0.055909404,0.003329438
2014-02-01,0.045009812,0.039434054,0.043021077,0.003639714,0.002938108,0.004383926,0.033951412
2014-03-01,0.008894984,0.005349761,-0.002291466,-0.001230697,-0.001833808,0.003492075,0.013961965
2014-04-01,0.007424704,0.028479404,0.007809089,0.004623911,0.003788834,0.013484156,0.020771553
2014-05-01,0.023491451,0.000473141,0.026435829,0.01180801,0.013186227,0.025750847,0.009057809
2014-06-01,0.012601154,0.029815869,-0.01865021,0.003938571,0.003342058,-0.00418399,0.009615963
2014-07-01,-0.005274711,0.031136032,0.007296737,0.005012749,0.004420419,0.036454234,-0.001967634
2014-08-01,0.040072294,0.016150426,0.015952255,0.010026783,0.012620189,0.006958686,0.02264384
2014-09-01,-0.013852865,-0.040176507,-0.001794679,-0.007383181,-0.00828349,-0.022764117,-0.030306587
2014-10-01,0.024143983,-0.006313205,0.010337301,0.006466466,0.007495209,0.002495866,0.039353633
2014-11-01,0.029147039,0.011649245,0.02402159,0.014734018,0.014893686,0.014107675,0.006684496
2014-12-01,-0.011245267,-0.011054503,-0.034318104,0.005101062,0.007841008,-0.010638321,-0.033107235
2015-01-01,-0.024150339,0.016374996,0.043881825,0.046372172,0.049634861,0.088543971,0.093785564
2015-02-01,0.057441284,0.038284016,0.068995882,-0.00090529,-0.003015809,0.014192529,-0.001243588
2015-03-01,-0.016460818,-0.027099001,0.01143766,-0.00279753,-0.002617249,-0.024961934,-0.013871635
2015-04-01,0.010041716,0.027528468,0.006462115,-0.015848312,-0.015873374,-0.013576782,0.011214778
2015-05-01,0.013256078,-0.010738466,0.024879549,0.002018747,0.001734243,-0.014942791,-0.05205768
2015-06-01,-0.02861813,-0.03618262,-0.062646724,-0.007351301,-0.005014413,-0.020359218,-0.014431529
2015-07-01,0.032855235,0.016214723,0.053342373,0.017290952,0.013946279,0.026641661,0.005533131
2015-08-01,-0.062423066,-0.045581274,-0.080418231,-0.012011123,-0.008945442,-0.032051348,-0.054291238
2015-09-01,-0.026719483,-0.0389866,-0.042413683,-0.002417795,-0.005601938,0.000827788,0.017110211
2015-10-01,0.082358379,0.02265906,0.068036479,-0.003052518,-0.001052828,-0.019023815,0.007167547
2015-11-01,0.004573912,-0.001499479,0.017528968,0.001108088,-0.001108239,0.008853226,-0.010730957
2015-12-01,-0.029801498,-0.038037834,-0.045378272,0.011656106,0.012661983,0.013372519,-0.034123839
2016-01-01,-0.042112413,-0.008059476,-0.03489571,0.00205913,0.00571536,0.002320386,0.007495343
2016-02-01,0.000450355,0.004228454,-0.048275881,0.003043449,0.004430541,0.001659622,0.030490496
2016-03-01,0.063877502,0.045789339,0.031884122,0.006812181,0.002065187,0.020712518,0.063356084
2016-04-01,0.003805476,0.03371937,0.002808966,0.000173841,-0.002382136,0.006493419,0.024082778
2016-05-01,0.018112995,0.008763347,0.030812385,0.007084912,0.009333009,0.012903301,0.009468855
2016-06-01,-0.008274818,-0.007722019,-0.048007028,0.018987722,0.021472029,0.00756372,0.059198711
2016-07-01,0.047085847,0.046104859,0.052526333,0.008158335,0.007343399,0.016647106,0.019069843
2016-08-01,0.001206147,-0.000936864,0.013327052,0.000689895,-0.001085751,0.008235299,-0.048553259
2016-09-01,-0.000803074,0.019754314,0.007710024,0.001293216,0.001978307,0.006223165,-0.006476293
2016-10-01,-0.018488782,0.01296289,0.008100659,-0.009820973,-0.011645416,-0.007730806,-0.023737984
2016-11-01,0.036855084,0.016910469,0.016071322,-0.020609262,-0.023018613,-0.019088387,-0.008473403
2016-12-01,0.009873621,0.024500881,0.028119669,-0.0047724,-0.007609874,-0.027799801,0.036253799
2017-01-01,0.02618917,0.011483938,0.014192903,-0.001568037,-0.003970222,-0.01369978,-1.6119E-05
2017-02-01,0.039215705,-0.005676492,0.021267528,0.009682949,0.009944768,0.003759344,0.033713393
2017-03-01,0.000739975,0.017587592,0.027072084,0.002578163,0.00342534,0.002913114,0.003350413
2017-04-01,0.009611734,0.006081463,0.013787581,0.014436493,0.013560588,0.016182391,0.013794901
2017-05-01,0.013182097,-0.019430287,0.02159996,0.009189252,0.009710172,0.015108255,-0.006254374
2017-06-01,-0.001807076,-0.005543703,-0.018794042,-0.012584081,-0.015238822,-0.037007146,-0.009926436
2017-07-01,0.025911056,0.000891673,0.015948293,-0.017767801,-0.019686093,-0.015736453,-0.013857577
2017-08-01,0.001421575,-0.004454489,0.000397971,0.013495162,0.014690468,0.017566423,0.014512821
2017-09-01,0.019872136,0.043014965,0.028241789,-0.014353983,-0.013795756,-0.016421005,8.17819E-06
2017-10-01,0.024356356,0.031101429,0.032495134,0.01557899,0.016189139,0.020119887,0.020800726
2017-11-01,0.030570614,0,-0.004870682,0.009240564,0.007600377,0.015526538,0.02171862
2017-12-01,0.001977473,0.018469086,-0.001882642,-0.003371317,-0.004487956,-0.006198087,0.013403023
2018-01-01,0.063066122,-0.014906876,0.023479251,-0.008906927,-0.01012138,-0.000585486,0.000662866
2018-02-01,-0.039313518,-0.036570104,-0.039419848,0.000451086,8.97592E-05,0.006716862,-0.009839307
2018-03-01,-0.025982485,0.004885027,-0.010840087,0.006042768,0.012437879,0.010425384,0.021318453
2018-04-01,0.002334071,0.015740902,0.036790661,-0.006405765,-0.012478703,-0.00660337,-0.000698661
2018-05-01,0.022954133,0.025828698,-0.001510034,0.008041511,0.008210974,0.021188062,0.03123877
2018-06-01,-0.002926965,0.026171312,-0.023818517,0.006412218,0.006289649,-0.004068118,0.015067618
2018-07-01,0.043142613,0.01441492,0.044815487,-0.008367163,-0.008788299,-0.007538441,0.012562788
2018-08-01,0.03244097,-0.015428284,-0.015419364,0.008659733,0.007719304,0.00913622,0.024248824
2018-09-01,0.00427092,-0.005643468,0.013369069,-0.010720726,-0.010711209,-0.012757286,-0.005168517
2018-10-01,-0.069258855,-0.058479564,-0.064455497,-0.007185993,-0.007033574,-0.020425092,-0.01616643
2018-11-01,0.01892953,0.015528005,0.005640599,0.010855255,0.013209839,-0.008936132,0.020369918
2018-12-01,-0.103138985,-0.048041096,-0.078926187,0.011448529,0.014985576,0.003005569,-0.036173965
2019-01-01,0.088257706,0.084644073,0.071913743,0.01496645,0.010076331,0.02460669,0.075307315
2019-02-01,0.030504055,0.019189746,0.0336755,0.003396691,0.002065119,-0.004219413,0.037511153
2019-03-01,0.018017901,0.018436635,0.01708381,0.021597751,0.024438735,0.043643988,0.036825295
2019-04-01,0.039506958,0.03807953,0.03476568,-0.000522282,-0.003067803,0.002030205,-0.033408843
2019-05-01,-0.064153183,-0.037878678,-0.050207739,0.01774146,0.01897811,0.017017715,0.016023382
2019-06-01,0.058479458,0.029110652,0.030206749,0.009317507,0.006929588,0.007171367,0.000741969
2019-07-01,0.021832285,0.002839708,0.019178296,0.000433417,0.001028348,0.009394535,0.015230397
2019-08-01,-0.017554506,-0.002831667,-0.018817258,0.020507428,0.023075011,0.015025746,0.041107548
2019-09-01,0.018176241,0.027978985,0.036007808,-0.008811274,-0.012247032,-0.012466013,0.025870862
2019-10-01,0.021180014,-0.010338101,0.015489194,-0.001750388,-0.001704026,-0.006311612,-0.003798086
2019-11-01,0.036148297,0.028525518,0.023809593,0.005139975,0.003236568,0.004763757,0.017741303
2019-12-01,0.017443536,0.005971656,-0.002180282,-0.010793669,-0.012452296,-0.038350492,-0.031205286
2020-01-01,0.009262392,0.020344276,-0.007855461,0.026658949,0.029154258,0.055214975,0.053142994
2020-02-01,-0.080472756,-0.061349752,-0.071322349,0.005311552,0.00717395,0.01200157,-0.034979313
2020-03-01,-0.136475006,-0.150314919,-0.141200052,-0.033476442,-0.00563335,-0.076893618,-0.272430115
2020-04-01,0.124025503,0.092978089,0.055892055,0.052749761,0.032463591,0.051802699,0.06188342
2020-05-01,0.048234656,0.019051841,0.052051148,0.003722558,0.001387241,0.013002456,-0.022028051
2020-06-01,0.012029983,0.033310841,0.014675015,0.017953223,0.013425417,0.016336005,0.030267018
2020-07-01,0.064592962,0.041189026,-0.010238385,0.014390197,0.011574375,0.057262568,0.012594576
2020-08-01,0.06582279,0.01468193,0.037552733,-0.014118227,-0.015537387,-0.00802911,-0.018740648
2020-09-01,-0.039588253,-0.012715232,-0.008133448,0.00390942,0.004744355,0.001471583,-0.008430446
2020-10-01,-0.024732029,-0.034864673,-0.03485025,-0.008660827,-0.008086266,-0.005143292,-0.023549349
2020-11-01,0.105663484,0.097747517,0.121070458,0.011782657,0.006898242,0.017356007,0.172612487
2020-12-01,0.029306789,0.017109475,0.017430827,0.005097861,0.002149528,-0.008338297,-0.023584629
2021-01-01,-0.004031076,-0.001917911,0.009474088,-0.013137929,-0.012872483,-0.013501727,0.003218236
2021-02-01,0.027277253,0.036510339,0.027901804,-0.027332474,-0.0314026,-0.042798719,0.038749023
2021-03-01,0.044092569,0.052980971,0.050669595,-0.012857934,-0.014469605,-0.008553637,0.047734939
2021-04-01,0.050629968,0.023049628,0.0110231,0.000276561,0.00132142,-0.020000002,0.046759243
2021-05-01,0.004219448,0.030849208,0.022827965,0.006001806,0.00563154,0.03441381,0.026318474
2021-06-01,0.021229514,0.033422856,0.001332407,0.01071264,0.012014439,0.009671209,0.033768752